id,user_id,platform,can_read,can_write,can_delete,created_at,updated_at
6c21737f-5cef-4bae-a46c-5ea254c250d5,25736961-61e8-4648-9534-7935d19d6a4e,dashboard,true,true,,2025-09-24T15:26:00.31059+00:00,2025-09-24T15:26:00.31059+00:00
c3de8584-0264-41f3-909d-34c9dcf1dea7,25736961-61e8-4648-9534-7935d19d6a4e,instagram,true,true,,2025-09-24T15:26:00.31059+00:00,2025-09-24T15:26:00.31059+00:00
36a1cf35-7f39-45b4-8c7f-b66a20c86c79,25736961-61e8-4648-9534-7935d19d6a4e,spotify,true,true,,2025-09-24T15:26:00.31059+00:00,2025-09-24T15:26:00.31059+00:00
e37f18a6-4f97-4623-934d-393bdf4f37d0,25736961-61e8-4648-9534-7935d19d6a4e,soundcloud,true,true,,2025-09-24T15:26:00.31059+00:00,2025-09-24T15:26:00.31059+00:00
62eaac2f-e5ae-4125-8ea4-de30c4eb480c,25736961-61e8-4648-9534-7935d19d6a4e,youtube,true,true,,2025-09-24T15:26:00.31059+00:00,2025-09-24T15:26:00.31059+00:00
00a24b76-856d-4031-9888-e96abed45d28,1d4b4582-92f7-4bfe-af19-ca8624b28e72,dashboard,true,true,,2025-09-24T15:26:39.465798+00:00,2025-09-24T15:26:39.465798+00:00
a001bde4-a5a8-4a01-9cee-671df5621804,1d4b4582-92f7-4bfe-af19-ca8624b28e72,instagram,true,true,,2025-09-24T15:26:39.465798+00:00,2025-09-24T15:26:39.465798+00:00
d0631b65-2088-46d6-a0b8-01fa9f1a0474,1d4b4582-92f7-4bfe-af19-ca8624b28e72,spotify,true,true,,2025-09-24T15:26:39.465798+00:00,2025-09-24T15:26:39.465798+00:00
6484015b-fd7a-419e-8721-e66bfb59131f,1d4b4582-92f7-4bfe-af19-ca8624b28e72,youtube,true,true,,2025-09-24T15:26:39.465798+00:00,2025-09-24T15:26:39.465798+00:00
d91df4dc-41f3-4142-91cc-a883d5d363d0,ca91b7bf-1c47-4763-a07d-a41a7d9fcb27,dashboard,true,true,true,2025-09-24T15:59:40.738188+00:00,2025-09-24T15:59:40.738188+00:00
6afaa9ec-53e1-4541-9a25-5c160723c4e4,ca91b7bf-1c47-4763-a07d-a41a7d9fcb27,instagram,true,true,true,2025-09-24T15:59:40.738188+00:00,2025-09-24T15:59:40.738188+00:00
6faf61e6-7dc7-4c89-b072-6561b5a04007,ca91b7bf-1c47-4763-a07d-a41a7d9fcb27,spotify,true,true,true,2025-09-24T15:59:40.738188+00:00,2025-09-24T15:59:40.738188+00:00
0f815d3c-671c-435e-a208-7b5e493084e3,ca91b7bf-1c47-4763-a07d-a41a7d9fcb27,soundcloud,true,true,true,2025-09-24T15:59:40.738188+00:00,2025-09-24T15:59:40.738188+00:00
61038704-f7e5-4ac4-9965-776d371b3ffd,ca91b7bf-1c47-4763-a07d-a41a7d9fcb27,youtube,true,true,true,2025-09-24T15:59:40.738188+00:00,2025-09-24T15:59:40.738188+00:00
768db38d-dd96-4406-87fd-b9d063d78769,8e18cddd-e8df-406f-8f2c-d6ebdad00d52,dashboard,,,,2025-09-24T16:24:29.738417+00:00,2025-09-24T16:24:29.738417+00:00
82059baf-cdb8-41f2-9c33-d4a6684e808a,8e18cddd-e8df-406f-8f2c-d6ebdad00d52,instagram,,,,2025-09-24T16:24:29.738417+00:00,2025-09-24T16:24:29.738417+00:00
65198935-fa5c-42d8-a6ef-f5596cede2bb,8e18cddd-e8df-406f-8f2c-d6ebdad00d52,spotify,true,,,2025-09-24T16:24:29.738417+00:00,2025-09-24T16:24:29.738417+00:00
d4ac4434-a900-4f40-97ab-f9da686c3850,8e18cddd-e8df-406f-8f2c-d6ebdad00d52,soundcloud,,,,2025-09-24T16:24:29.738417+00:00,2025-09-24T16:24:29.738417+00:00
